TEAM_GAMES,ALLNOT%,FG%,FT%,3P%
1,1,4,2,1
2,2,8,4,2
3,3,11,5,3
4,3,15,7,4
5,4,19,8,5
6,5,22,10,6
7,5,26,11,7
8,6,30,13,8
9,7,33,14,9
10,7,37,16,10
11,8,41,17,11
12,9,44,19,12
13,10,48,20,13
14,10,52,22,14
15,11,55,23,15
16,12,59,25,16
17,12,63,26,17
18,13,66,28,18
19,14,70,29,19
20,14,74,31,20
21,15,77,33,21
22,16,81,34,22
23,17,85,36,23
24,17,88,37,24
25,18,92,39,25
26,19,96,40,26
27,19,99,42,27
28,20,103,43,28
29,21,107,45,29
30,21,110,46,30
31,22,114,48,31
32,23,118,49,32
33,24,121,51,33
34,24,125,52,34
35,25,129,54,35
36,26,132,55,36
37,26,136,57,37
38,27,140,58,38
39,28,143,60,39
40,28,147,61,40
41,29,150,63,41
42,30,154,65,42
43,31,158,66,43
44,31,161,68,44
45,32,165,69,45
46,33,169,71,46
47,33,172,72,47
48,34,176,74,48
49,35,180,75,49
50,35,183,77,50
51,36,187,78,51
52,37,191,80,52
53,38,194,81,53
54,38,198,83,54
55,39,202,84,55
56,40,205,86,56
57,40,209,87,57
58,41,213,89,58
59,42,216,90,59
60,42,220,92,60
61,43,224,93,61
62,44,227,95,62
63,45,231,97,63
64,45,235,98,64
65,46,238,100,65
66,47,242,101,66
67,47,246,103,67
68,48,249,104,68
69,49,253,106,69
70,49,257,107,70
71,50,260,109,71
72,51,264,110,72
73,52,268,112,73
74,52,271,113,74
75,53,275,115,75
76,54,279,116,76
77,54,282,118,77
78,55,286,119,78
79,56,290,121,79
80,56,293,122,80
81,57,297,124,81
82,58,300,125,82
